capital_change,event_type,talent_value
1.6666666666666663,lucky,0.0
6.666666666666666,lucky,0.3333333333333333
7.5,lucky,0.3333333333333333
-1.6666666666666665,unlucky,0.3333333333333333
-2.5,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,0.6666666666666666
-3.333333333333333,unlucky,1.0
-2.5,unlucky,0.6666666666666666
-2.5,unlucky,1.0
-2.5,unlucky,0.0
-1.6666666666666665,unlucky,0.3333333333333333
-4.166666666666666,unlucky,1.0
2.5,lucky,0.6666666666666666
5.0,lucky,1.0
5.0,lucky,0.6666666666666666
3.333333333333333,lucky,1.0
3.333333333333333,lucky,0.3333333333333333
10.0,lucky,0.6666666666666666
-4.166666666666666,unlucky,0.3333333333333333
-1.6666666666666665,unlucky,0.0
-2.5,unlucky,1.0
-5.0,unlucky,0.6666666666666666
-2.5,unlucky,1.0
4.166666666666666,lucky,0.6666666666666666
6.666666666666666,lucky,0.6666666666666666
3.333333333333333,lucky,0.6666666666666666
2.5,lucky,1.0
-1.6666666666666665,unlucky,0.0
-2.5,unlucky,0.6666666666666666
-5.0,unlucky,0.0
-1.6666666666666665,unlucky,0.0
-1.25,unlucky,1.0
-1.25,unlucky,1.0
-2.5,unlucky,0.6666666666666666
-1.25,unlucky,0.6666666666666666
-0.8333333333333333,unlucky,0.0
-1.6666666666666665,unlucky,1.0
-1.6666666666666665,unlucky,0.0
-2.5,unlucky,0.6666666666666666
2.5,lucky,0.6666666666666666
1.6666666666666665,lucky,0.0
4.166666666666666,lucky,0.3333333333333333
3.333333333333333,lucky,0.0
5.0,lucky,0.6666666666666666
3.333333333333333,lucky,0.0
6.666666666666666,lucky,0.0
1.6666666666666665,lucky,1.0
-0.625,unlucky,1.0
-1.25,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,0.0
-10.0,unlucky,0.6666666666666666
5.833333333333334,lucky,0.6666666666666666
2.5,lucky,0.6666666666666666
3.333333333333333,lucky,0.0
5.0,lucky,0.6666666666666666
-0.8333333333333331,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,1.0
-3.75,unlucky,0.6666666666666666
-5.0,unlucky,0.6666666666666666
-2.5,unlucky,1.0
-5.0,unlucky,0.6666666666666666
-1.25,unlucky,0.6666666666666666
-1.25,unlucky,0.6666666666666666
-1.25,unlucky,0.0
3.333333333333333,lucky,0.0
5.0,lucky,0.6666666666666666
6.666666666666666,lucky,0.0
6.666666666666666,lucky,0.3333333333333333
10.0,lucky,0.6666666666666666
-1.25,unlucky,0.0
-1.6666666666666663,unlucky,0.0
-0.625,unlucky,0.0
-0.8333333333333333,unlucky,0.3333333333333333
-2.083333333333333,unlucky,1.0
-0.41666666666666663,unlucky,0.3333333333333333
-1.0416666666666665,unlucky,1.0
-4.166666666666666,unlucky,0.3333333333333333
-1.6666666666666665,unlucky,0.0
3.333333333333333,lucky,1.0
3.333333333333333,lucky,1.0
3.333333333333333,lucky,0.0
2.5,lucky,0.0
-6.666666666666666,unlucky,0.3333333333333333
-1.25,unlucky,0.0
-2.083333333333333,unlucky,0.6666666666666666
-2.083333333333333,unlucky,0.6666666666666666
-2.5,unlucky,1.0
-5.0,unlucky,0.6666666666666666
3.333333333333333,lucky,0.6666666666666666
6.666666666666666,lucky,0.3333333333333333
13.333333333333332,lucky,0.0
1.6666666666666663,lucky,0.6666666666666666
10.0,lucky,1.0
-1.6666666666666665,unlucky,0.6666666666666666
-2.5,unlucky,1.0
-2.916666666666667,unlucky,1.0
-3.333333333333333,unlucky,0.3333333333333333
-3.333333333333333,unlucky,1.0
-0.625,unlucky,0.6666666666666666
0.625,lucky,0.6666666666666666
5.0,lucky,0.6666666666666666
6.666666666666666,lucky,0.3333333333333333
6.666666666666666,lucky,0.0
4.166666666666666,lucky,0.3333333333333333
-5.0,unlucky,0.6666666666666666
-1.25,unlucky,1.0
-0.8333333333333333,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,0.0
-7.5,unlucky,0.3333333333333333
-1.25,unlucky,0.0
0.625,lucky,1.0
2.083333333333333,lucky,0.6666666666666666
6.666666666666666,lucky,1.0
5.833333333333334,lucky,1.0
1.6666666666666665,lucky,0.6666666666666666
2.5,lucky,0.6666666666666666
5.0,lucky,0.6666666666666666
5.0,lucky,0.6666666666666666
-5.0,unlucky,1.0
-2.5,unlucky,0.6666666666666666
-5.833333333333334,unlucky,1.0
3.333333333333333,lucky,0.0
2.5,lucky,0.6666666666666666
20.0,lucky,0.6666666666666666
1.6666666666666665,lucky,0.0
-2.083333333333333,unlucky,0.3333333333333333
-0.8333333333333331,unlucky,0.0
-2.5,unlucky,0.0
-1.6666666666666665,unlucky,0.0
-6.666666666666666,unlucky,0.0
-5.0,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,1.0
1.25,lucky,0.6666666666666666
2.5,lucky,1.0
5.0,lucky,0.6666666666666666
2.5,lucky,1.0
-2.5,unlucky,0.0
-0.8333333333333333,unlucky,0.0
-4.166666666666666,unlucky,0.3333333333333333
-1.25,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,1.0
-4.166666666666666,unlucky,1.0
5.0,lucky,0.6666666666666666
1.6666666666666665,lucky,1.0
10.0,lucky,0.6666666666666666
3.333333333333333,lucky,0.6666666666666666
6.666666666666666,lucky,1.0
-1.25,unlucky,0.6666666666666666
-2.083333333333333,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,0.0
-0.625,unlucky,0.6666666666666666
-2.5,unlucky,1.0
-5.0,unlucky,0.6666666666666666
-0.41666666666666663,unlucky,0.6666666666666666
40.0,lucky,0.6666666666666666
6.666666666666666,lucky,0.6666666666666666
6.666666666666666,lucky,0.0
2.5,lucky,0.0
8.333333333333332,lucky,0.6666666666666666
13.333333333333332,lucky,0.6666666666666666
5.0,lucky,0.0
80.0,lucky,0.6666666666666666
-1.25,unlucky,1.0
-0.8333333333333331,unlucky,0.6666666666666666
-0.41666666666666663,unlucky,0.0
-6.666666666666666,unlucky,0.3333333333333333
-3.333333333333333,unlucky,0.3333333333333333
1.25,lucky,0.6666666666666666
1.6666666666666665,lucky,0.6666666666666666
1.25,lucky,0.6666666666666666
1.25,lucky,1.0
1.25,lucky,0.6666666666666666
1.25,lucky,0.0
-1.0416666666666665,unlucky,0.3333333333333333
-3.333333333333333,unlucky,0.3333333333333333
-1.25,unlucky,1.0
-1.6666666666666665,unlucky,0.6666666666666666
-2.916666666666666,unlucky,0.3333333333333333
-5.0,unlucky,0.6666666666666666
-8.333333333333332,unlucky,0.6666666666666666
-13.333333333333332,unlucky,0.6666666666666666
-2.5,unlucky,0.6666666666666666
-2.083333333333333,unlucky,0.6666666666666666
5.0,lucky,0.6666666666666666
1.6666666666666665,lucky,1.0
5.0,lucky,1.0
1.6666666666666665,lucky,1.0
26.666666666666664,lucky,0.0
0.625,lucky,0.6666666666666666
2.5,lucky,0.6666666666666666
6.666666666666666,lucky,0.0
-1.6666666666666663,unlucky,0.6666666666666666
-10.0,unlucky,1.0
-2.5,unlucky,0.0
1.6666666666666663,lucky,0.6666666666666666
5.0,lucky,0.0
10.0,lucky,0.6666666666666666
1.25,lucky,0.6666666666666666
13.333333333333332,lucky,0.0
2.5,lucky,0.0
0.8333333333333331,lucky,0.6666666666666666
-1.6666666666666665,unlucky,1.0
-1.6666666666666665,unlucky,0.6666666666666666
-3.333333333333333,unlucky,0.0
-0.4166666666666666,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,1.0
8.333333333333332,lucky,0.3333333333333333
1.6666666666666665,lucky,0.0
8.333333333333334,lucky,0.6666666666666666
0.41666666666666663,lucky,0.3333333333333333
1.0416666666666665,lucky,1.0
-0.4166666666666666,unlucky,0.0
-3.333333333333333,unlucky,0.0
-1.875,unlucky,0.6666666666666666
-1.6666666666666663,unlucky,0.6666666666666666
-5.833333333333334,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,0.6666666666666666
-2.5,unlucky,0.0
-2.5,unlucky,0.6666666666666666
-0.8333333333333333,unlucky,0.6666666666666666
-1.458333333333333,unlucky,0.3333333333333333
160.0,lucky,0.6666666666666666
53.33333333333333,lucky,0.0
2.916666666666667,lucky,1.0
3.333333333333333,lucky,0.3333333333333333
1.25,lucky,1.0
-5.0,unlucky,1.0
-1.6666666666666665,unlucky,0.0
-0.8333333333333333,unlucky,0.0
-2.083333333333333,unlucky,1.0
-1.25,unlucky,0.6666666666666666
-2.083333333333333,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,0.0
13.333333333333332,lucky,0.0
5.0,lucky,0.6666666666666666
1.6666666666666665,lucky,0.6666666666666666
2.5,lucky,0.0
2.5,lucky,0.6666666666666666
2.5,lucky,0.6666666666666666
-5.0,unlucky,0.0
-2.5,unlucky,0.0
6.666666666666666,lucky,0.6666666666666666
3.333333333333333,lucky,0.0
0.4166666666666666,lucky,0.6666666666666666
1.6666666666666665,lucky,1.0
5.0,lucky,0.6666666666666666
-1.6666666666666665,unlucky,0.6666666666666666
-2.5,unlucky,0.0
-2.5,unlucky,0.6666666666666666
-1.25,unlucky,0.0
-0.41666666666666663,unlucky,0.0
-1.25,unlucky,0.6666666666666666
-1.0416666666666665,unlucky,0.6666666666666666
2.5,lucky,0.0
3.333333333333333,lucky,1.0
2.5,lucky,0.0
1.6666666666666665,lucky,0.0
4.166666666666666,lucky,0.3333333333333333
0.8333333333333333,lucky,0.0
2.5,lucky,0.3333333333333333
2.5,lucky,1.0
5.0,lucky,1.0
7.5,lucky,0.3333333333333333
-0.625,unlucky,1.0
-10.0,unlucky,0.6666666666666666
-0.41666666666666663,unlucky,0.6666666666666666
5.0,lucky,0.6666666666666666
6.666666666666666,lucky,0.0
5.833333333333334,lucky,0.6666666666666666
10.0,lucky,1.0
-0.8333333333333333,unlucky,0.0
-2.5,unlucky,1.0
-7.5,unlucky,0.3333333333333333
-0.8333333333333333,unlucky,0.0
-8.333333333333334,unlucky,0.6666666666666666
5.0,lucky,0.0
3.333333333333333,lucky,0.0
13.333333333333332,lucky,0.0
10.0,lucky,0.0
2.5,lucky,0.6666666666666666
26.666666666666664,lucky,0.0
26.666666666666664,lucky,0.0
13.333333333333332,lucky,1.0
1.25,lucky,1.0
1.6666666666666665,lucky,1.0
20.0,lucky,1.0
1.25,lucky,0.6666666666666666
1.25,lucky,0.0
-6.666666666666666,unlucky,0.3333333333333333
-2.5,unlucky,1.0
-0.8333333333333333,unlucky,0.6666666666666666
-1.25,unlucky,0.0
-1.25,unlucky,0.6666666666666666
-0.625,unlucky,0.0
-1.6666666666666665,unlucky,0.6666666666666666
-1.0416666666666665,unlucky,0.6666666666666666
-1.25,unlucky,1.0
10.0,lucky,0.0
6.666666666666666,lucky,0.0
11.666666666666668,lucky,0.6666666666666666
5.0,lucky,0.6666666666666666
2.5,lucky,1.0
-0.2083333333333333,unlucky,0.0
-6.666666666666666,unlucky,1.0
5.833333333333334,lucky,1.0
8.333333333333332,lucky,0.3333333333333333
6.666666666666666,lucky,0.6666666666666666
10.0,lucky,0.6666666666666666
-0.8333333333333333,unlucky,0.0
-6.666666666666666,unlucky,0.6666666666666666
-0.41666666666666663,unlucky,0.0
-1.0416666666666665,unlucky,0.6666666666666666
-26.666666666666664,unlucky,0.0
5.0,lucky,0.0
1.0416666666666665,lucky,0.6666666666666666
1.25,lucky,1.0
13.333333333333332,lucky,0.6666666666666666
8.333333333333334,lucky,0.6666666666666666
-0.3125,unlucky,1.0
-0.7291666666666665,unlucky,0.3333333333333333
-0.8333333333333331,unlucky,0.6666666666666666
0.0,unlucky,0.0
-0.5208333333333333,unlucky,0.3333333333333333
-1.25,unlucky,1.0
-0.41666666666666663,unlucky,0.6666666666666666
-0.625,unlucky,0.0
-0.625,unlucky,0.6666666666666666
6.666666666666666,lucky,0.6666666666666666
1.25,lucky,0.6666666666666666
2.5,lucky,0.0
10.0,lucky,0.6666666666666666
26.666666666666664,lucky,0.0
-0.20833333333333331,unlucky,0.6666666666666666
0.41666666666666663,lucky,0.6666666666666666
6.666666666666666,lucky,0.0
10.0,lucky,0.6666666666666666
3.333333333333333,lucky,1.0
13.333333333333332,lucky,0.6666666666666666
0.8333333333333333,lucky,0.0
-6.666666666666666,unlucky,0.0
-0.8333333333333331,unlucky,0.6666666666666666
-0.10416666666666666,unlucky,0.6666666666666666
-1.25,unlucky,0.0
5.0,lucky,0.3333333333333333
10.0,lucky,0.3333333333333333
3.333333333333333,lucky,0.3333333333333333
-6.666666666666666,unlucky,0.0
-0.3125,unlucky,0.0
-0.8333333333333333,unlucky,0.6666666666666666
-0.8333333333333331,unlucky,0.6666666666666666
-5.0,unlucky,1.0
-10.0,unlucky,0.0
-1.6666666666666665,unlucky,0.0
-0.8333333333333333,unlucky,0.0
3.333333333333333,lucky,0.3333333333333333
0.3125,lucky,0.0
5.0,lucky,1.0
6.666666666666666,lucky,0.3333333333333333
16.666666666666668,lucky,0.6666666666666666
20.0,lucky,0.6666666666666666
20.0,lucky,0.6666666666666666
6.666666666666666,lucky,0.3333333333333333
10.0,lucky,0.6666666666666666
7.5,lucky,0.3333333333333333
-0.5208333333333333,unlucky,0.6666666666666666
-0.625,unlucky,1.0
-10.0,unlucky,0.6666666666666666
-10.0,unlucky,0.6666666666666666
-1.25,unlucky,0.6666666666666666
-0.5208333333333333,unlucky,0.6666666666666666
-0.8333333333333333,unlucky,0.3333333333333333
-5.0,unlucky,0.6666666666666666
-3.333333333333333,unlucky,1.0
53.33333333333333,lucky,0.0
10.0,lucky,1.0
16.666666666666664,lucky,0.3333333333333333
0.8333333333333333,lucky,0.6666666666666666
20.0,lucky,0.6666666666666666
-20.0,unlucky,0.6666666666666666
-8.333333333333332,unlucky,0.3333333333333333
-2.5,unlucky,0.0
-0.8333333333333333,unlucky,0.0
-6.666666666666666,unlucky,0.3333333333333333
6.666666666666666,lucky,0.0
1.6666666666666665,lucky,0.0
20.0,lucky,0.6666666666666666
2.5,lucky,1.0
0.41666666666666663,lucky,0.0
-0.625,unlucky,0.0
-4.166666666666666,unlucky,0.3333333333333333
-11.666666666666668,unlucky,0.6666666666666666
-3.333333333333333,unlucky,0.3333333333333333
-4.166666666666666,unlucky,0.6666666666666666
-6.666666666666666,unlucky,0.6666666666666666
-0.10416666666666664,unlucky,0.0
-0.41666666666666663,unlucky,0.0
0.8333333333333333,lucky,0.6666666666666666
2.5,lucky,0.6666666666666666
5.0,lucky,1.0
2.5,lucky,0.6666666666666666
5.0,lucky,0.0
-20.0,unlucky,0.6666666666666666
-0.3125,unlucky,0.0
-53.33333333333333,unlucky,0.0
-1.6666666666666665,unlucky,1.0
-1.25,unlucky,1.0
2.083333333333333,lucky,0.6666666666666666
1.875,lucky,0.6666666666666666
1.25,lucky,0.6666666666666666
-0.41666666666666663,unlucky,0.3333333333333333
-2.5,unlucky,0.6666666666666666
-7.5,unlucky,0.3333333333333333
-1.6666666666666665,unlucky,0.0
-160.0,unlucky,0.6666666666666666
2.083333333333333,lucky,1.0
4.166666666666666,lucky,0.6666666666666666
1.6666666666666665,lucky,0.6666666666666666
26.666666666666664,lucky,0.6666666666666666
5.0,lucky,0.6666666666666666
7.5,lucky,0.3333333333333333
-2.083333333333333,unlucky,0.6666666666666666
-3.333333333333333,unlucky,0.6666666666666666
-0.8333333333333331,unlucky,0.0
-0.36458333333333326,unlucky,0.3333333333333333
-0.15625,unlucky,1.0
-5.0,unlucky,0.6666666666666666
-0.20833333333333331,unlucky,0.0
-26.666666666666664,unlucky,0.0
-0.625,unlucky,1.0
-5.0,unlucky,0.6666666666666666
-2.5,unlucky,0.6666666666666666
-16.666666666666664,unlucky,0.3333333333333333
10.0,lucky,0.6666666666666666
2.5,lucky,0.6666666666666666
53.33333333333333,lucky,0.0
3.75,lucky,0.6666666666666666
40.0,lucky,0.6666666666666666
16.666666666666664,lucky,0.3333333333333333
3.333333333333333,lucky,0.6666666666666666
-2.083333333333333,unlucky,0.3333333333333333
-10.0,unlucky,0.0
-6.666666666666666,unlucky,0.0
-10.0,unlucky,1.0
-10.0,unlucky,0.3333333333333333
-0.05208333333333332,unlucky,0.0
-0.20833333333333331,unlucky,0.3333333333333333
-1.25,unlucky,0.6666666666666666
0.625,lucky,1.0
2.083333333333333,lucky,1.0
-2.5,unlucky,0.6666666666666666
-1.25,unlucky,0.6666666666666666
-0.15625,unlucky,0.0
-3.333333333333333,unlucky,0.6666666666666666
-0.625,unlucky,1.0
-0.078125,unlucky,0.0
2.5,lucky,1.0
20.0,lucky,0.6666666666666666
3.333333333333333,lucky,0.6666666666666666
10.0,lucky,0.6666666666666666
3.333333333333333,lucky,1.0
80.0,lucky,0.6666666666666666
-5.0,unlucky,1.0
-13.333333333333332,unlucky,0.0
-6.666666666666666,unlucky,0.0
-0.8333333333333333,unlucky,0.6666666666666666
-6.666666666666666,unlucky,0.0
-0.625,unlucky,0.6666666666666666
-0.26041666666666663,unlucky,0.6666666666666666
-13.333333333333332,unlucky,0.6666666666666666
-0.02604166666666666,unlucky,0.0
20.0,lucky,0.6666666666666666
40.0,lucky,1.0
3.333333333333333,lucky,1.0
-80.0,unlucky,0.6666666666666666
-1.25,unlucky,0.6666666666666666
-0.625,unlucky,0.6666666666666666
-0.41666666666666663,unlucky,0.0
-1.0416666666666665,unlucky,0.6666666666666666
-1.6666666666666665,unlucky,0.6666666666666666
2.5,lucky,0.0
5.0,lucky,0.6666666666666666
-13.333333333333332,unlucky,1.0
